0,"1 c. firmly packed brown sugar, 1/2 c. evaporated milk, 1/2 tsp. vanilla, 1/2 c. broken nuts (pecans), 2 Tbsp. butter or margarine, 3 1/2 c. bite size shredded rice biscuits"
1,"1 small jar chipped beef, cut up, 4 boned chicken breasts, 1 can cream of mushroom soup, 1 carton sour cream"
2,"2 (16 oz.) pkg. frozen corn, 1 (8 oz.) pkg. cream cheese, cubed, 1/3 c. butter, cubed, 1/2 tsp. garlic powder, 1/2 tsp. salt, 1/4 tsp. pepper"
3,"1 large whole chicken, 2 (10 1/2 oz.) cans chicken gravy, 1 (10 1/2 oz.) can cream of mushroom soup, 1 (6 oz.) box Stove Top stuffing, 4 oz. shredded cheese"
4,"1 c. peanut butter, 3/4 c. graham cracker crumbs, 1 c. melted butter, 1 lb. (3 1/2 c.) powdered sugar, 1 large pkg. chocolate chips"
5,"6 baking potatoes, 1 lb. of extra lean ground beef, 2/3 c. butter or margarine, 6 c. milk, 3/4 tsp. salt, 1/2 tsp. pepper, 1 1/2 c (6 oz.) shredded Cheddar cheese, divided, 12 sliced bacon, cooked, crumbled and divided, 4 green onion, chopped and divided, 1 (8 oz.) carton sour cream (optional)"
6,"1 1/2 c. sugar, 1/2 c. butter, 1 egg, 1 c. buttermilk, 2 c. flour, 1/2 tsp. salt, 1 tsp. soda, 1 c. buttermilk, 2 c. rhubarb, finely cut, 1 tsp. vanilla"
7,"1 can cream-style corn, 1 can whole kernel corn, 1/2 pkg. (approximately 20) saltine crackers, crushed, 1 egg, beaten, 6 tsp. butter, divided, pepper to taste"
8,"1 1/2 lb. round steak (1-inch thick), cut into strips, 1 can drained tomatoes, cut up (save liquid), 1 3/4 c. water, 1/2 c. onions, 1 1/2 Tbsp. Worcestershire sauce, 2 green peppers, diced, 1/4 c. oil"
9,"1 large container Cool Whip, 1 large can crushed pineapple, 1 can condensed milk, 3 lemons, 1 c. pecans, 2 graham cracker crusts"
10,"1 (17 oz.) can dark sweet pitted cherries, 1/2 c. ginger ale, 1 (6 oz.) pkg. Jell-O cherry flavor gelatin, 2 c. boiling water, 1/8 tsp. almond extract, 1 c. miniature marshmallows"
11,"1 box powdered sugar, 8 oz. soft butter, 1 (8 oz.) peanut butter, paraffin, 12 oz. chocolate chips"
12,"chicken wings (as many as you need for dinner), flour, barbecue sauce (your choice)"
13,"8 oz. Ortega taco sauce, 8 oz. sour cream, 8 oz. cream cheese, 1 lb. ground beef, 1 pkg. taco seasoning, shredded lettuce, 1 large diced tomato, 1 medium diced onion, 1 large diced green pepper, shredded Colby or Cheddar cheese"
14,"1 can pie filling (cherry or strawberry), 1 can crushed pineapple, drained, 1 can sweetened condensed milk, 1 (8 oz.) container thawed whipped topping, 2 Tbsp. lemon juice"
15,"1 baked pie shell, 1 qt. cleaned strawberries, 1 1/2 c. water, 4 Tbsp. cornstarch, 1 c. sugar, 1/8 tsp. salt, 4 Tbsp. strawberry jello"
16,"1/2 pkg. chocolate fudge cake mix without pudding or 1 Jiffy mix, 1/2 pkg. white cake mix without pudding or 1 Jiffy mix, 1/4 c. Wesson oil"
17,"1 large head broccoli (about 1 1/2 lb.), 10 slices bacon, cooked and crumbled, 5 green onions, sliced or 1/4 c. chopped red onion, 1/2 c. raisins, 1 c. mayonnaise, 2 Tbsp. vinegar, 1/4 c. sugar"
18,"1 lb. frozen strawberries in juice, 1 small can crushed pineapple, 3 ripe bananas, 1 c. chopped pecans, 1 large pkg. strawberry Jell-O, 1 1/2 c. boiling water, 1 pt. sour cream"
19,"3/4 c. sugar, 1/2 c. shortening, 1 1/2 c. applesauce, 3 level tsp. soda, 1 tsp. each: cinnamon, cloves and nutmeg, 2 c. sifted flour, 1 c. raisins, 1 c. nuts"
20,"1 c. sugar, 1/2 c. shortening, 2 eggs (add one at a time), 1 tsp. salt, 2 tsp. soda, 2 c. flour, 1/4 c. nuts, 2 over-ripe bananas (chopped)"
21,"1 pkg. devil's food cake mix, 1 pkg. chocolate fudge pudding mix (instant), 8 oz. sour cream, 3/4 c. water, 1/2 c. Wesson oil, 4 eggs, 6 oz. chopped Frango mints"
22,"2 c. 7-Up or Sprite, 1 c. vegetable oil, 1 c. Kikkoman soy sauce, garlic salt"
23,"1/2 bushel tomatoes, 1 c. oil, 1/4 c. minced garlic, 6 cans tomato paste, 3 peppers (2 sweet and 1 hot), 1 1/2 c. sugar, 1/2 c. salt, 1 Tbsp. sweet basil, 2 Tbsp. oregano, 1 tsp. Italian seasoning"
24,"1 1/2 lb. ground beef, 1 c. tomato juice, 3/4 c. oats (uncooked), 1 egg, beaten, 1/4 c. chopped onion, 1/4 tsp. pepper, 1 1/2 tsp. salt"
25,"2 lb. round steak, 1/2 tsp. ground black pepper, 1 tsp. ground white pepper, 1/2 c. vegetable oil, 2 bell peppers, chopped, 1 c. beef stock or water, 2 tsp. salt, 1 tsp. ground red pepper, all-purpose flour (dredging), 3 medium onions, chopped, 1 celery rib, chopped"
